confidence_threshold,trades,coverage,win_rate,avg_pnl,profit_factor,total_pnl
0.28,63009,0.9447759851256523,0.4108301988604802,-35.11512641051265,0.7716604642810712,-2212568.9999999916
0.3,62139,0.9317309422419481,0.41476367498672334,-33.90320692318824,0.7792713447697869,-2106711.3749999944
0.32,57486,0.8619624542673784,0.42485126813485025,-28.576120707650524,0.8136741242160032,-1642726.8749999981
0.34,52384,0.7854615246206441,0.438129963347587,-21.476631700519235,0.8595098813266762,-1125031.8749999995
0.36,49807,0.7468212079409824,0.4458610235509065,-17.292087457586252,0.8865980893257943,-861266.9999999984
0.38,45620,0.6840400647753854,0.4550197281893906,-11.094582967996368,0.9269015696394661,-506134.8749999943
0.4,38063,0.570728123313141,0.46953734597903474,-0.5649580957883783,0.9962642301469811,-21503.999999993044
0.42,34892,0.523181191147364,0.47211395162214836,1.82401410065368,1.0120390966322028,63643.50000000821
0.44,8008,0.12007437173873928,0.5304695304695305,44.003590159840826,1.308546578882827,352380.75000000536
0.46,4711,0.07063815750014994,0.5629378051369136,67.22410316281136,1.4858166330042721,316692.7500000043
0.48,4704,0.0705331973849937,0.5625,67.00342793367439,1.4839274486818457,315184.1250000043
0.5,143,0.0021441852096203444,0.5524475524475524,62.15034965035381,1.3064232519652694,8887.500000000595
