combination_key,combination_size,actions,categories,overfit_penalty,rank_score,temporal_folds_evaluated,temporal_pass_folds,temporal_stability,trade_count,net_pnl,profit_factor,win_rate,expectancy,max_drawdown,avg_winner,avg_loser,trade_coverage,net_pnl_delta,profit_factor_delta,expectancy_delta,max_drawdown_delta,baseline_trades,baseline_net_pnl,baseline_expectancy,baseline_profit_factor,baseline_win_rate,baseline_max_drawdown,baseline_avg_winner,baseline_avg_loser,expectancy_lift,expectancy_lift_ci_low,expectancy_lift_ci_high,p_value_approx,statistically_acceptable
ce:min_confidence_0.4358+pe:min_directional_confidence_0.4645+avoid:ce:mixed,3,ce require quality confidence >= 0.4358 | pe require directional confidence >= 0.4645 | Reduce or disable ce trades in mixed,avoid_weak_segment|minimum_confidence,0.0,6.176260175479129,4,4,True,15160,599552.625000008,1.2621566669454198,0.5219656992084433,39.548326187335626,-94716.0000000018,364.7862852268425,-315.57903270318707,0.22731362082408685,3367671.750000001,0.5299760029063748,81.05434077679152,2673545.2499999953,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,81.05434077679152,73.4692074116021,88.63947414198094,2.1078307602170699e-97,True
ce:min_confidence_0.4358+pe:min_directional_confidence_0.4645+avoid:all:range,3,ce require quality confidence >= 0.4358 | pe require directional confidence >= 0.4645 | Reduce or disable all trades in range,avoid_weak_segment|minimum_confidence,0.0,6.0860306358056695,4,4,True,14669,559068.0000000095,1.2506851245330959,0.5204172063535346,38.11220942122909,-76851.37499999942,365.36917081477674,-317.00927505330435,0.21995141846098482,3327187.125000003,0.5185044604940509,79.618224010685,2691409.8749999977,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,79.618224010685,71.93619303058033,87.30025499078967,9.697084496697355e-92,True
all:min_directional_confidence_0.4645+ce:min_confidence_0.4358+avoid:ce:low_volatility,3,all require directional confidence >= 0.4645 | ce require quality confidence >= 0.4358 | Reduce or disable ce trades in Low Volatility,avoid_weak_segment|minimum_confidence,0.0,6.070270360789585,4,4,True,13840,538801.1250000075,1.2474567618951866,0.5156069364161849,38.930717124278,-55186.12500000128,380.62720711883475,-324.7844011038182,0.2075211419660529,3306920.2500000005,0.5152760978561416,80.4367317137339,2713075.124999996,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,80.4367317137339,72.40069111172325,88.47277231574456,1.0723319642185475e-85,True
all:min_directional_confidence_0.4645+ce:min_confidence_0.4358,2,all require directional confidence >= 0.4645 | ce require quality confidence >= 0.4358,minimum_confidence,0.0,6.069957193701981,4,4,True,13854,538908.3750000076,1.2473487389179776,0.5157355276454454,38.89911758336997,-55068.37500000128,380.3565430370895,-324.74871441347403,0.2077310621963654,3307027.5000000005,0.5151680748789326,80.40513217282587,2713192.874999996,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,80.40513217282587,72.37531991579496,88.43494442985678,9.251561610964431e-86,True
all:min_directional_confidence_0.4645+ce:min_confidence_0.4358+pe:min_directional_confidence_0.4645,3,all require directional confidence >= 0.4645 | ce require quality confidence >= 0.4358 | pe require directional confidence >= 0.4645,minimum_confidence,0.0,6.069957193701981,4,4,True,13854,538908.3750000076,1.2473487389179776,0.5157355276454454,38.89911758336997,-55068.37500000128,380.3565430370895,-324.74871441347403,0.2077310621963654,3307027.5000000005,0.5151680748789326,80.40513217282587,2713192.874999996,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,80.40513217282587,72.37531991579496,88.43494442985678,9.251561610964431e-86,True
all:min_directional_confidence_0.4645+ce:min_confidence_0.4358+pe:min_directional_confidence_0.4607,3,all require directional confidence >= 0.4645 | ce require quality confidence >= 0.4358 | pe require directional confidence >= 0.4607,minimum_confidence,0.0,6.069957193701981,4,4,True,13854,538908.3750000076,1.2473487389179776,0.5157355276454454,38.89911758336997,-55068.37500000128,380.3565430370895,-324.74871441347403,0.2077310621963654,3307027.5000000005,0.5151680748789326,80.40513217282587,2713192.874999996,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,80.40513217282587,72.37531991579496,88.43494442985678,9.251561610964431e-86,True
all:min_directional_confidence_0.4645+ce:min_confidence_0.4358+pe:min_directional_confidence_0.4468,3,all require directional confidence >= 0.4645 | ce require quality confidence >= 0.4358 | pe require directional confidence >= 0.4468,minimum_confidence,0.0,6.069957193701981,4,4,True,13854,538908.3750000076,1.2473487389179776,0.5157355276454454,38.89911758336997,-55068.37500000128,380.3565430370895,-324.74871441347403,0.2077310621963654,3307027.5000000005,0.5151680748789326,80.40513217282587,2713192.874999996,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,80.40513217282587,72.37531991579496,88.43494442985678,9.251561610964431e-86,True
all:min_confidence_0.4358+pe:min_directional_confidence_0.4607+avoid:ce:mixed,3,all require quality confidence >= 0.4358 | pe require directional confidence >= 0.4607 | Reduce or disable ce trades in mixed,avoid_weak_segment|minimum_confidence,0.0,6.007142168738392,4,4,True,14776,541651.5000000064,1.24402710511231,0.5207769355711965,36.65751894964851,-98748.74999999849,358.84186159844097,-313.4637233441599,0.2215558087926588,3309770.6249999995,0.5118464410732649,78.1635335391044,2669512.4999999986,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,78.1635335391044,70.61626882004549,85.71079825816332,1.3172474352416584e-91,True
all:min_confidence_0.4358+pe:min_directional_confidence_0.4468+avoid:ce:mixed,3,all require quality confidence >= 0.4358 | pe require directional confidence >= 0.4468 | Reduce or disable ce trades in mixed,avoid_weak_segment|minimum_confidence,0.0,5.98827202812603,4,4,True,14972,540092.2500000065,1.2403213348370907,0.5201041944963932,36.073487176062415,-98335.1249999986,357.9642513162967,-312.78710855949845,0.22449469201703354,3308211.3749999995,0.5081406707980457,77.57950176551832,2669926.1249999986,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,77.57950176551832,70.0912516091636,85.06775192187303,1.1398481543569278e-91,True
all:min_directional_confidence_0.4645+ce:min_confidence_0.4358+avoid:all:low_volatility,3,all require directional confidence >= 0.4645 | ce require quality confidence >= 0.4358 | Reduce or disable all trades in Low Volatility,avoid_weak_segment|minimum_confidence,0.0,5.969212926660008,4,4,True,13565,507141.7500000078,1.234856714060776,0.5136011795060819,37.38604865462645,-54613.874999997264,382.73408568968057,-327.2759358896631,0.20339770887062916,3275260.875000001,0.502676050021731,78.89206324408235,2713647.375,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,78.89206324408235,70.74135932852683,87.04276715963788,2.9522385365078234e-80,True
all:min_directional_confidence_0.4645+ce:min_confidence_0.4358+avoid:pe:low_volatility,3,all require directional confidence >= 0.4645 | ce require quality confidence >= 0.4358 | Reduce or disable pe trades in Low Volatility,avoid_weak_segment|minimum_confidence,0.0,5.968820232445859,4,4,True,13579,507249.0000000079,1.2347558652781023,0.5137344428897562,37.35540172324972,-54613.874999997264,382.45414635894565,-327.2377896410718,0.20360762910094163,3275368.125000001,0.5025752012390573,78.86141631270561,2713647.375,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,78.86141631270561,70.71719342653645,87.00563919887477,2.548857555543618e-80,True
