feature,range_winner_mean,range_loser_mean,overall_mean,separation
adx,14.630385340397579,14.611624377416392,25.529498675241435,0.01876096298118668
rsi,50.4262603661981,50.67860414210261,50.02170356683146,-0.25234377590450663
trend_strength,5.361401334593969e-06,1.243808009297737e-05,-1.8254827428546153e-05,-7.076678758383402e-06
atr,9.82604338538014,9.194036480024497,10.58045467724361,0.6320069053556434
volatility,0.00028248714943989546,0.00026212978047688586,0.00032401592461126194,2.0357368963009595e-05
momentum_velocity,-5.253152904546159e-06,-3.0907336271192855e-06,2.4012388223286895e-07,-2.162419277426873e-06
range_compression,0.6221069251740686,0.6196496985713795,0.5727779254553524,0.0024572266026891
directional_confidence,0.3846213871077752,0.3534416615013149,0.3798635128969994,0.031179725606460318
quality_confidence,0.4052446759137498,0.38211768753840136,0.3961681330406501,0.023126988375348434
confidence,0.4052446759137498,0.38211768753840136,0.3961681330406501,0.023126988375348434
mfe_points,30.658074810746594,5.2362774973812,16.065864721405877,25.421797313365396
mae_points,3.833241799020336,22.44596228930576,16.065864721405877,-18.612720490285426
holding_bars,6.3390233041413095,12.650699933339682,9.972365501109579,-6.311676629198373
price_vs_vwap,6.564288682559392e-05,8.937770240211814e-05,-2.0959031062345066e-05,-2.3734815576524217e-05
ema_alignment,0.03696007124833012,0.06866012760689458,-0.0015594074251784322,-0.03170005635856446
supertrend_dir,0.013804363960219682,0.058375392819731454,-0.003478678102321118,-0.04457102885951177
