model,target,status,rows,train_rows,calibration_rows,test_rows,auc,pr_auc,average_precision,calibration,ece,brier,threshold,precision,recall,trade_count,selected_positives,expectancy,profit_factor,max_drawdown,net_pnl,selection_score,side,model_artifact_path,artifact_available,meets_expectancy_floor,meets_profit_factor_floor,meets_calibration_floor,meets_trade_count_floor,metric_viable,production_viable,rank_for_target,production_rank_for_target,global_rank
lgbm,target_hit_pe,ok,150000,105000,22500,22500,0.5839378200812575,0.5071391913972796,0.5071391913972796,isotonic_time_split,0.0163259282084958,0.2414971397841177,0.58972503617945,0.5781315458734814,0.139760988454527,2387,1380,100.76173020527916,1.4550399536859375,-54454.50000000029,240518.2500000013,0.4198142826991961,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_target_hit_pe_lgbm.joblib,True,True,True,True,True,True,True,2,2,13
random_forest,directional_ce,ok,150000,105000,22500,22500,0.6016040548773405,0.4813208802769925,0.4813208802769925,isotonic_time_split,0.0179209659089852,0.2361195301351359,0.4567642956764295,0.4805173807599029,0.6432204306893193,12370,5944,37.58764147130139,1.1974535803949573,-128766.75000000116,464959.1249999981,0.4153911274637674,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_directional_ce_random_forest.joblib,False,True,True,True,True,True,False,3,3,14
catboost,target_hit_pe,ok,150000,105000,22500,22500,0.5858233069801629,0.5085598183394673,0.5085598183394673,isotonic_time_split,0.0224916619390433,0.2415719295656199,0.5850253807106599,0.5757432751297782,0.1235568158800891,2119,1220,116.54394761680074,1.5280709941880624,-46262.99999999951,246956.6250000008,0.40991089677483183,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_target_hit_pe_catboost.joblib,False,True,True,True,True,True,False,3,3,15
random_forest,stop_hit_pe,ok,150000,105000,22500,22500,0.7032481306155288,0.333727604725568,0.333727604725568,isotonic_time_split,0.0323795285963972,0.1437425702786778,0.4170471841704718,0.4085417252037089,0.3357192334333872,3559,1454,106.51664793481284,1.337026043894458,-81028.4999999998,379092.74999999895,0.40571816059589144,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_stop_hit_pe_random_forest.joblib,False,True,True,True,True,True,False,4,4,16
random_forest,quality_profitable_ce,ok,150000,105000,22500,22500,0.578539789782913,0.4681476556552189,0.4681476556552189,isotonic_time_split,0.0187388792256557,0.2394935980732968,0.4333539987600744,0.4786602870813397,0.536983360171766,10450,5002,57.50099282296671,1.2937982563096484,-121385.99999999942,600885.3750000021,0.40471906297185917,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_quality_profitable_ce_random_forest.joblib,False,True,True,True,True,True,False,2,3,17
xgboost,directional_ce,ok,150000,105000,22500,22500,0.5956269929018329,0.4733157300826995,0.4733157300826995,isotonic_time_split,0.0264409995956553,0.2357766481913732,0.4525986015796661,0.4900056043340183,0.5676874797099881,10706,5246,52.06100551092845,1.2691379387459207,-125974.8749999986,557365.125,0.3956184164925493,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_directional_ce_xgboost.joblib,False,True,True,True,True,True,False,4,4,18
xgboost,directional_pe,ok,150000,105000,22500,22500,0.5645384294925038,0.4610556315799466,0.4610556315799466,isotonic_time_split,0.0090817080921597,0.2408133004719249,0.5244755148887634,0.5256410256410257,0.013094857872884,234,123,117.56730769231083,1.7359972711859482,-9578.250000000053,27510.75000000073,0.38399854258605154,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\production_candidates\v2_directional_pe_xgboost_20260703T172552Z_ceb73b650f15.joblib,True,True,True,True,True,True,True,1,1,19
mlp,directional_ce,ok,150000,105000,22500,22500,0.5994481606452563,0.4819720323695082,0.4819720323695082,isotonic_time_split,0.0170774626898786,0.2356353054060321,0.5028790786948176,0.5092307692307693,0.0358186343469321,650,331,96.13384615384751,1.4699776902183972,-28058.24999999978,62487.00000000089,0.38230017685373097,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_directional_ce_mlp.joblib,False,True,True,True,True,True,False,5,5,20
lgbm,stop_hit_ce,ok,150000,105000,22500,22500,0.6524479522903248,0.3101213351822193,0.3101213351822193,isotonic_time_split,0.0286421344191594,0.153204942846363,0.4452554744525547,0.5743243243243243,0.0189225289403383,148,85,231.15962837837836,1.410730284217019,-43443.74999999999,34211.62499999999,0.38107418302709956,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_stop_hit_ce_lgbm.joblib,True,True,True,True,True,True,True,1,1,21
catboost,stop_hit_ce,ok,150000,105000,22500,22500,0.6502448340462517,0.3104377672490685,0.3104377672490685,isotonic_time_split,0.0304888577128599,0.1536062151869003,0.4745508982035929,0.5164835164835165,0.0627782724844167,546,282,236.1497252747242,1.4968498384458402,-50545.87500000025,128937.74999999942,0.37733336539251133,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_stop_hit_ce_catboost.joblib,False,True,True,True,True,True,False,2,2,22
lgbm,quality_profitable_ce,ok,150000,105000,22500,22500,0.570721779800278,0.4596098774756801,0.4596098774756801,isotonic_time_split,0.0257302718167023,0.2398329835365332,0.4939516129032257,0.4973544973544973,0.050456253354804,945,470,231.91746031746172,1.7301420725704546,-59284.87499999916,219162.0000000013,0.37433791342292344,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_quality_profitable_ce_lgbm.joblib,True,True,True,True,True,True,True,3,2,23
xgboost,stop_hit_ce,ok,150000,105000,22500,22500,0.6517217736017593,0.3105113996033881,0.3105113996033881,isotonic_time_split,0.0268185994411508,0.1534495651131397,0.4368108510971069,0.4404655326768129,0.1095280498664292,1117,492,168.56333930170092,1.450237855045171,-54971.62499999987,188285.24999999997,0.3647150198455863,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_stop_hit_ce_xgboost.joblib,False,True,True,True,True,True,False,3,3,24
