market_regime,count,total_loss,avg_loss,loss_pct
mixed,15124,-3763555.8750000005,-248.84659316318437,36.41292118504667
range,10501,-2644157.6249999986,-251.8005547090752,25.582589018946113
volatile_trend,8477,-2395235.250000002,-282.55694821281133,23.17423077394742
trend,6112,-1532821.4999999977,-250.7888579842928,14.830259022059803
