strategy,low_conf_multiplier,high_conf_threshold,total_pnl,profit_factor,avg_pnl
low0.25x_highthresh0.65,0.25,0.65,-682738.9687499979,0.7380966398015993,-10.237194397378964
low0.25x_highthresh0.7,0.25,0.7,-682738.9687499979,0.7380966398015993,-10.237194397378964
low0.5x_highthresh0.65,0.5,0.65,-1377865.6874999963,0.7341642691428077,-20.66013446140461
low0.5x_highthresh0.7,0.5,0.7,-1377865.6874999963,0.7341642691428077,-20.66013446140461
