trade_idx,check_bar,eqs,action,actual_pnl,outcome
134,3,43.0,ScaleOut,-285.7500000000273,loss
135,3,70.0,Hold,239.62500000002183,win
136,3,35.0,ScaleOut,-369.7500000000328,loss
137,3,78.0,Hold,330.0000000000164,win
138,3,55.0,Trail,-397.8750000000328,loss
139,3,58.0,Trail,358.1250000000164,win
140,3,55.0,Trail,-394.5,loss
141,3,53.0,Trail,354.74999999998363,win
142,3,50.0,Trail,-290.2499999999891,loss
143,3,70.0,Hold,274.4999999999782,win
144,3,35.0,ScaleOut,-299.2500000000491,loss
145,3,73.0,Hold,284.6250000000491,win
146,3,55.0,Trail,-460.87500000004366,loss
147,3,65.0,Trail,506.6250000000382,win
148,3,45.0,ScaleOut,-595.4999999999945,loss
149,3,65.0,Trail,704.9999999999891,win
150,3,25.0,Exit,-532.5000000000109,loss
151,3,65.0,Trail,579.0000000000218,win
152,3,45.0,ScaleOut,-483.7500000000109,loss
153,3,58.0,Trail,481.5000000000218,win
154,3,45.0,ScaleOut,-453.7500000000109,loss
155,3,80.0,Hold,421.5000000000218,win
156,3,45.0,ScaleOut,-355.125,loss
157,3,53.0,Trail,224.25,win
158,3,25.0,Exit,-273.3749999999891,loss
159,3,68.0,Trail,127.12499999999454,win
160,3,25.0,Exit,-254.25000000002183,loss
161,3,73.0,Hold,108.00000000002728,win
162,3,45.0,ScaleOut,-289.12500000000546,loss
163,3,53.0,Trail,142.8750000000109,win
164,3,25.0,Exit,-256.4999999999891,loss
165,3,75.0,Hold,110.24999999999454,win
166,3,25.0,Exit,-182.25000000000543,loss
167,3,75.0,Hold,36.000000000010914,win
168,3,45.0,ScaleOut,-178.87499999997272,loss
169,3,75.0,Hold,32.62499999997817,win
170,3,50.0,Trail,2.250000000010914,win
171,3,70.0,Hold,-148.50000000000546,loss
172,3,60.0,Trail,193.5000000000109,win
173,3,70.0,Hold,-339.75000000000546,loss
174,3,43.0,ScaleOut,-56.62499999997817,loss
175,3,70.0,Hold,-172.5000000000109,loss
176,3,55.0,Trail,-161.2500000000109,loss
177,3,53.0,Trail,-67.87499999997817,loss
178,3,25.0,Exit,-319.12500000000546,loss
179,3,85.0,Hold,152.2500000000109,win
180,3,25.0,Exit,-326.24999999998363,loss
181,3,85.0,Hold,170.99999999998363,win
182,3,55.0,Trail,-301.4999999999345,loss
183,3,58.0,Trail,146.24999999993452,win
184,3,25.0,Exit,-224.99999999998363,loss
185,3,78.0,Hold,69.74999999998363,win
186,3,63.0,Trail,-120.37499999995087,loss
187,3,50.0,Trail,-34.87500000004911,loss
188,3,63.0,Trail,-209.2499999999673,loss
189,3,50.0,Trail,53.99999999996726,win
190,3,43.0,ScaleOut,-140.62499999998363,loss
191,3,70.0,Hold,-14.625000000016373,loss
192,3,35.0,ScaleOut,-226.87499999998363,loss
193,3,73.0,Hold,89.25,win
194,3,55.0,Trail,-356.62500000000546,loss
195,3,65.0,Trail,227.2500000000109,win
196,3,25.0,Exit,-337.49999999998363,loss
197,3,58.0,Trail,188.9999999999673,win
198,3,45.0,ScaleOut,-304.5,loss
199,3,80.0,Hold,123.0,win
200,3,45.0,ScaleOut,-291.375,loss
201,3,65.0,Trail,96.75,win
202,3,28.0,Exit,-179.24999999999454,loss
203,3,70.0,Hold,-60.000000000010914,loss
204,3,33.0,ScaleOut,-70.12500000002728,loss
205,3,70.0,Hold,-169.12499999997817,loss
206,3,48.0,ScaleOut,-164.6249999999618,loss
207,3,50.0,Trail,-74.62500000004366,loss
208,3,58.0,Trail,-206.2500000000109,loss
209,3,50.0,Trail,-32.99999999999454,loss
210,3,25.0,Exit,-172.5000000000109,loss
