date,open,high,low,close,volume
2026-08-13 09:15:00,57799.15,57799.15,57590.85,57663.15,0
2026-08-13 09:16:00,57661.35,57697.0,57646.15,57694.25,0
2026-08-13 09:17:00,57694.9,57694.95,57615.4,57633.75,0
2026-08-13 09:18:00,57630.25,57642.0,57605.45,57637.55,0
2026-08-13 09:19:00,57646.05,57667.85,57634.0,57635.35,0
2026-08-13 09:20:00,57636.15,57643.55,57623.0,57635.4,0
2026-08-13 09:21:00,57638.35,57654.15,57603.7,57603.7,0
2026-08-13 09:22:00,57606.95,57618.15,57584.7,57604.8,0
2026-08-13 09:23:00,57610.2,57610.2,57573.8,57581.2,0
2026-08-13 09:24:00,57578.75,57594.85,57565.35,57592.2,0
2026-08-13 09:25:00,57597.5,57600.0,57569.3,57591.75,0
2026-08-13 09:26:00,57591.5,57598.95,57577.55,57579.5,0
2026-08-13 09:27:00,57585.3,57585.3,57557.5,57563.5,0
2026-08-13 09:28:00,57569.1,57570.8,57554.75,57566.0,0
2026-08-13 09:29:00,57566.55,57597.05,57556.7,57594.2,0
2026-08-13 09:30:00,57598.35,57619.55,57574.25,57582.2,0
2026-08-13 09:31:00,57583.85,57597.15,57575.2,57576.8,0
2026-08-13 09:32:00,57576.7,57579.75,57554.35,57570.8,0
2026-08-13 09:33:00,57573.15,57576.85,57550.25,57552.4,0
2026-08-13 09:34:00,57558.55,57574.4,57551.4,57567.55,0
2026-08-13 09:35:00,57566.85,57572.45,57557.8,57568.05,0
2026-08-13 09:36:00,57569.45,57576.9,57555.5,57566.85,0
2026-08-13 09:37:00,57571.2,57576.65,57560.6,57567.5,0
2026-08-13 09:38:00,57569.0,57584.6,57562.5,57576.3,0
2026-08-13 09:39:00,57581.5,57605.9,57574.75,57604.1,0
2026-08-13 09:40:00,57606.95,57631.3,57602.5,57626.95,0
2026-08-13 09:41:00,57629.8,57644.95,57618.25,57620.0,0
2026-08-13 09:42:00,57622.95,57626.05,57610.95,57618.75,0
2026-08-13 09:43:00,57622.6,57624.75,57609.65,57618.0,0
2026-08-13 09:44:00,57620.0,57635.15,57617.3,57628.95,0
2026-08-13 09:45:00,57631.15,57676.1,57623.1,57676.1,0
2026-08-13 09:46:00,57678.55,57687.45,57647.75,57647.75,0
2026-08-13 09:47:00,57648.7,57648.7,57615.75,57628.3,0
2026-08-13 09:48:00,57632.15,57724.9,57630.0,57720.05,0
2026-08-13 09:49:00,57720.9,57725.35,57684.75,57686.15,0
2026-08-13 09:50:00,57687.05,57729.9,57686.0,57717.1,0
2026-08-13 09:51:00,57717.9,57720.45,57696.75,57699.3,0
2026-08-13 09:52:00,57700.7,57703.8,57669.4,57672.95,0
2026-08-13 09:53:00,57673.3,57695.5,57667.45,57689.2,0
