comparison,feature,psi,train_mean,comparison_mean,mean_delta,train_std,comparison_std
train_vs_calibration,supertrend_dir,0.004298820710563741,0.08018018272768146,0.014700448667194511,-0.06547973406048695,0.9967803861923425,0.999891942566287
train_vs_calibration,supertrend_dist,0.00702843017475159,5.9650158683589285e-05,5.802906695075256e-06,-5.384725198851403e-05,0.0011905764118714825,0.0011477387150796562
train_vs_calibration,price_vs_vwap,0.014888814239677165,-5.485979160019916e-05,3.729423498073829e-06,5.8589215098272985e-05,0.002667604704930044,0.00254326551922473
train_vs_calibration,adx,0.0015486694271530175,25.108583089680117,25.37948280755555,0.27089971787543377,10.553882370079142,10.67078676979752
train_vs_calibration,di_spread,0.003096070375067836,0.23917294482987858,-0.1135122945031109,-0.35268523933298945,15.836853888025942,15.337791062448403
train_vs_calibration,ema_alignment,0.0077860643167796135,0.08562638381861831,-0.002507257851675904,-0.08813364167029422,0.996327316896484,0.9999968568240928
train_vs_calibration,volume_ratio,0.0,1.0,1.0,0.0,0.0,0.0
train_vs_calibration,ema20,10.638048014516409,18680.51877558241,24060.684307236614,5380.165531654202,2907.0999748696954,882.0282702559016
train_vs_calibration,ema50,10.63858220803953,18680.078969537608,24060.538475685014,5380.4595061474065,2906.936005440749,881.4727359626513
train_vs_calibration,macd,0.03626147197978608,0.439806044802754,0.14583155159872113,-0.29397449320403285,14.603121634407293,18.26421868588006
train_vs_calibration,returns,0.005836062480786947,1.6573447070867858e-06,5.00332113450455e-07,-1.157012593636331e-06,0.0004419417138788656,0.00041995612746610085
train_vs_calibration,volatility,0.01331578815327612,0.00033147219637056583,0.0003099440913193823,-2.1528105051183506e-05,0.00029176224854909677,0.00028301802480565396
train_vs_calibration,rsi,0.004278621852143019,50.823121049073364,50.16243680051661,-0.6606842485567554,12.384938910366095,12.336584687371543
train_vs_calibration,atr,0.5547015770070749,7.725524204362884,9.839317723805413,2.1137935194425292,3.9469142865962206,4.507292735173218
train_vs_calibration,trend_strength,0.020378010636504327,2.1971456549607984e-05,4.5077128072368055e-06,-1.746374374237118e-05,0.0008078393327254545,0.0007711915500307037
train_vs_calibration,hour,7.911248391495142e-07,11.881959388193112,11.883821588809713,0.0018622006166015836,1.8452848256072418,1.8469306647201085
train_vs_calibration,weekday,0.001698108565732762,2.004490429559921,1.9758115597783057,-0.02867886978161538,1.4201485044242712,1.409674480247924
train_vs_calibration,return_1,0.005836062480786947,1.6573447070867858e-06,5.00332113450455e-07,-1.157012593636331e-06,0.0004419417138788656,0.00041995612746610085
