comparison,target,psi,train_rate,comparison_rate,rate_delta
train_vs_calibration,directional_ce,0.017124959482224984,0.2886232082818451,0.34955133280548956,0.060928124523644434
train_vs_calibration,directional_pe,0.01644373093729984,0.29128409884600487,0.3510952757983637,0.059811176952358824
train_vs_calibration,quality_profitable_ce,0.006924331109482949,0.334313611826683,0.37409606756400104,0.039782455737318034
train_vs_calibration,quality_profitable_pe,0.00871976630268277,0.3283216595360832,0.3728556347321193,0.04453397519603608
train_vs_calibration,target_hit_ce,0.022192017537294263,0.29706679938129343,0.3671285299551333,0.07006173057383985
train_vs_calibration,target_hit_pe,0.02124563855637777,0.29972486221903005,0.36838215888097126,0.0686572966619412
train_vs_calibration,stop_hit_ce,0.020054461135154484,0.10929445398016632,0.157191871206123,0.04789741722595667
train_vs_calibration,stop_hit_pe,0.026323129275604974,0.09821259412794331,0.15147796252309317,0.053265368395149865
train_vs_holdout,directional_ce,0.01933877029118261,0.2886232082818451,0.35346590834114094,0.06484270005929582
train_vs_holdout,directional_pe,0.025525230036800226,0.29128409884600487,0.36621316688879796,0.07492906804279309
train_vs_holdout,quality_profitable_ce,0.00712372681625789,0.334313611826683,0.37467175149443793,0.04035813966775492
train_vs_holdout,quality_profitable_pe,0.013787923507813531,0.3283216595360832,0.3845159076813449,0.056194248145261694
train_vs_holdout,target_hit_ce,0.022598739857392292,0.29706679938129343,0.36778348134756733,0.0707166819662739
train_vs_holdout,target_hit_pe,0.029382264826724718,0.29972486221903005,0.3807946582916562,0.08106979607262615
train_vs_holdout,stop_hit_ce,0.021729463356999854,0.10929445398016632,0.15930114408624854,0.05000669010608222
train_vs_holdout,stop_hit_pe,0.0205778946731464,0.09821259412794331,0.14482522004196302,0.04661262591401971
train_vs_walkforward,directional_ce,0.002215713798955835,0.2886232082818451,0.31017816735868536,0.02155495907684024
train_vs_walkforward,directional_pe,0.0024045048410618625,0.29128409884600487,0.3138052241920956,0.022521125346090742
train_vs_walkforward,quality_profitable_ce,0.0008765757440353753,0.334313611826683,0.34835123794459455,0.01403762611791154
train_vs_walkforward,quality_profitable_pe,0.0012642713188248575,0.3283216595360832,0.3451240141479382,0.016802354611854975
train_vs_walkforward,target_hit_ce,0.0027324837782135526,0.29706679938129343,0.32121971045058106,0.02415291106928763
train_vs_walkforward,target_hit_pe,0.0029591855923650663,0.29972486221903005,0.3249302489070498,0.02520538668801975
train_vs_walkforward,stop_hit_ce,0.002566057477456215,0.10929445398016632,0.12559151123706583,0.016297057256899505
train_vs_walkforward,stop_hit_pe,0.0029495920909536548,0.09821259412794331,0.11495639183637602,0.016743797708432706
train_vs_latest,directional_ce,0.01933877029118261,0.2886232082818451,0.35346590834114094,0.06484270005929582
train_vs_latest,directional_pe,0.025525230036800226,0.29128409884600487,0.36621316688879796,0.07492906804279309
train_vs_latest,quality_profitable_ce,0.00712372681625789,0.334313611826683,0.37467175149443793,0.04035813966775492
train_vs_latest,quality_profitable_pe,0.013787923507813531,0.3283216595360832,0.3845159076813449,0.056194248145261694
train_vs_latest,target_hit_ce,0.022598739857392292,0.29706679938129343,0.36778348134756733,0.0707166819662739
train_vs_latest,target_hit_pe,0.029382264826724718,0.29972486221903005,0.3807946582916562,0.08106979607262615
train_vs_latest,stop_hit_ce,0.021729463356999854,0.10929445398016632,0.15930114408624854,0.05000669010608222
train_vs_latest,stop_hit_pe,0.0205778946731464,0.09821259412794331,0.14482522004196302,0.04661262591401971
