target,fold,psi_vs_fold_1,prob_mean,prob_std,prob_p05,prob_p50,prob_p95,psi_vs_previous_fold
directional_ce,1,0.0,0.2513553672359784,0.15018946511513662,0.07094594594594594,0.25287356321839083,0.4150641025641026,
directional_ce,2,2.8503788150150364,0.34710902479328704,0.09673732021202724,0.21359223300970873,0.34471544715447155,0.5397923875432526,
directional_ce,3,1.0094914391251746,0.20888524922390023,0.11597528752972218,0.09379042690815007,0.16222570532915362,0.4473684210526316,
directional_ce,4,2.412374010068255,0.29817639919877603,0.12073352427513799,0.12987666750566323,0.26926333615580017,0.5093023255813951,
directional_ce,5,1.6895234090420395,0.33506683668011206,0.12324599483130155,0.14524103831891225,0.32785521115040567,0.5380487804878049,
directional_ce,6,1.8947019777655958,0.3177939744626078,0.12847699512924496,0.13423212192262604,0.3142605633802817,0.48402241405421775,
directional_ce,1_to_2,,0.34710902479328704,0.09673732021202724,0.21359223300970873,0.34471544715447155,0.5397923875432526,2.8503788150150364
directional_ce,2_to_3,,0.20888524922390023,0.11597528752972218,0.09379042690815007,0.16222570532915362,0.4473684210526316,6.0830999959296275
directional_ce,3_to_4,,0.29817639919877603,0.12073352427513799,0.12987666750566323,0.26926333615580017,0.5093023255813951,1.8677224110572201
directional_ce,4_to_5,,0.33506683668011206,0.12324599483130155,0.14524103831891225,0.32785521115040567,0.5380487804878049,1.0815206573182814
directional_ce,5_to_6,,0.3177939744626078,0.12847699512924496,0.13423212192262604,0.3142605633802817,0.48402241405421775,0.9173816784040709
directional_pe,1,0.0,0.2471726232043093,0.07827742442223955,0.09935897435897435,0.2431311560393987,0.3684210526315789,
directional_pe,2,3.0700877114213796,0.3444289606910263,0.10523547515942093,0.2077922077922078,0.33172205438066465,0.5055906660184735,
directional_pe,3,3.572860718748534,0.2527520483153723,0.09837273337214082,0.12302284710017575,0.2294837361981498,0.4650905060953084,
directional_pe,4,2.753068976254171,0.27743612395655576,0.07528059807058471,0.1484213632339923,0.27497425334706493,0.3866513233601841,
directional_pe,5,2.139633209942984,0.33857432963426165,0.0993171757910766,0.17562828755113968,0.3390160740379931,0.4604012671594509,
directional_pe,6,3.5190298545082594,0.3434121671122551,0.09766632977301376,0.1669626998223801,0.33159631752648955,0.4878715408267851,
directional_pe,1_to_2,,0.3444289606910263,0.10523547515942093,0.2077922077922078,0.33172205438066465,0.5055906660184735,3.0700877114213796
directional_pe,2_to_3,,0.2527520483153723,0.09837273337214082,0.12302284710017575,0.2294837361981498,0.4650905060953084,2.4785200875089326
directional_pe,3_to_4,,0.27743612395655576,0.07528059807058471,0.1484213632339923,0.27497425334706493,0.3866513233601841,1.2078313351341958
directional_pe,4_to_5,,0.33857432963426165,0.0993171757910766,0.17562828755113968,0.3390160740379931,0.4604012671594509,2.714595276362472
directional_pe,5_to_6,,0.3434121671122551,0.09766632977301376,0.1669626998223801,0.33159631752648955,0.4878715408267851,0.19878760464311773
quality_profitable_ce,1,0.0,0.27230831318930876,0.1222119705767019,0.16517377284127552,0.23019182652210174,0.44964028776978415,
quality_profitable_ce,2,6.123866166843266,0.3798957072106833,0.0594412914793734,0.3383177570093458,0.3659066232356134,0.5165675446049279,
quality_profitable_ce,3,3.6235693710855443,0.2736206962957954,0.09127513756936116,0.15393322014714206,0.2656505171475231,0.4625684723067559,
quality_profitable_ce,4,3.9822390143751014,0.31965537813728584,0.0778627211207099,0.20651310563939634,0.30434782608695654,0.47140039447731746,
quality_profitable_ce,5,3.151161495662127,0.36862049743734937,0.08826308805207479,0.21956521739130436,0.37355973317161917,0.5230094959824689,
quality_profitable_ce,6,1.9995006756387754,0.349356034656409,0.09789147591913071,0.19130434782608696,0.35156771180787194,0.49908703590992115,
quality_profitable_ce,1_to_2,,0.3798957072106833,0.0594412914793734,0.3383177570093458,0.3659066232356134,0.5165675446049279,6.123866166843266
quality_profitable_ce,2_to_3,,0.2736206962957954,0.09127513756936116,0.15393322014714206,0.2656505171475231,0.4625684723067559,5.3534599030580985
quality_profitable_ce,3_to_4,,0.31965537813728584,0.0778627211207099,0.20651310563939634,0.30434782608695654,0.47140039447731746,1.1117795480168227
quality_profitable_ce,4_to_5,,0.36862049743734937,0.08826308805207479,0.21956521739130436,0.37355973317161917,0.5230094959824689,2.3169055736262023
quality_profitable_ce,5_to_6,,0.349356034656409,0.09789147591913071,0.19130434782608696,0.35156771180787194,0.49908703590992115,1.5157009482092618
quality_profitable_pe,1,0.0,0.28249295596259866,0.03987405525678506,0.21751527494908351,0.30786516853932583,0.3191747572815534,
quality_profitable_pe,2,1.5816701224170002,0.3809574202755765,0.07093953413424883,0.30484330484330485,0.3709738537324744,0.4662737393582188,
quality_profitable_pe,3,0.46033368489821547,0.31567993060006316,0.07911528605273271,0.20402298850574713,0.29650245848408946,0.47496206373292865,
quality_profitable_pe,4,1.2067772280151803,0.30964274171316875,0.046193998065689565,0.24509609669110363,0.3042381432896066,0.382699868938401,
quality_profitable_pe,5,0.5796318528876392,0.3623557712238149,0.0769336558257295,0.24238791656677056,0.3681796233703525,0.46702470461868956,
quality_profitable_pe,6,0.7267358001303645,0.37881770674670867,0.06661016513032864,0.24006488240064883,0.3873193875350443,0.4649122807017544,
quality_profitable_pe,1_to_2,,0.3809574202755765,0.07093953413424883,0.30484330484330485,0.3709738537324744,0.4662737393582188,1.5816701224170002
quality_profitable_pe,2_to_3,,0.31567993060006316,0.07911528605273271,0.20402298850574713,0.29650245848408946,0.47496206373292865,5.52928790093876
quality_profitable_pe,3_to_4,,0.30964274171316875,0.046193998065689565,0.24509609669110363,0.3042381432896066,0.382699868938401,1.959720725972465
quality_profitable_pe,4_to_5,,0.3623557712238149,0.0769336558257295,0.24238791656677056,0.3681796233703525,0.46702470461868956,3.061059164883459
quality_profitable_pe,5_to_6,,0.37881770674670867,0.06661016513032864,0.24006488240064883,0.3873193875350443,0.4649122807017544,0.8799685323368382
target_hit_ce,1,0.0,0.2442594855437522,0.15699831813733703,0.05621301775147929,0.225,0.5135135135135135,
target_hit_ce,2,4.808999442152732,0.35555181041409895,0.11197903553109263,0.21052631578947367,0.3489388264669164,0.5882352941176471,
target_hit_ce,3,2.186517901703675,0.2127634631749696,0.12671099628442514,0.08993399339933994,0.16619452313503305,0.4827586206896552,
target_hit_ce,4,1.2651345548795834,0.3057782242894839,0.1313649742637696,0.13846153846153847,0.29280910501810664,0.5709779179810726,
target_hit_ce,5,2.4007952928723277,0.3517922451121471,0.14600836409787615,0.13416666666666666,0.33469539375928664,0.5956204379562043,
target_hit_ce,6,4.454159004169118,0.33432053241831977,0.14675080583056582,0.13160733549083062,0.33417935702199664,0.5896700143472023,
target_hit_ce,1_to_2,,0.35555181041409895,0.11197903553109263,0.21052631578947367,0.3489388264669164,0.5882352941176471,4.808999442152732
target_hit_ce,2_to_3,,0.2127634631749696,0.12671099628442514,0.08993399339933994,0.16619452313503305,0.4827586206896552,2.656305254472753
target_hit_ce,3_to_4,,0.3057782242894839,0.1313649742637696,0.13846153846153847,0.29280910501810664,0.5709779179810726,1.6954170465996354
