group,bucket,side,trade_count,net_pnl,profit_factor,win_rate,expectancy,max_drawdown,expectancy_lift,expectancy_lift_ci_low,expectancy_lift_ci_high,p_value_approx
market_regime,mixed,all,24734,-1193049.7499999974,0.6829993257373926,0.3885340017789278,-48.23521266273136,-1192914.374999996,-6.729198073275455,-11.602146428944472,-1.8562497176064383,0.006797164435677128
market_regime,range,all,17238,-831084.0000000016,0.6856904474444855,0.390822601229841,-48.21232161503664,-831533.6249999979,-6.706307025580742,-12.34284793198551,-1.0697661191759735,0.01970117297943501
market_regime,trend,all,10018,-445339.8749999963,0.709463968896576,0.3898981832701138,-44.45397035336357,-445408.1249999932,-2.9479557639076717,-10.146941973505797,4.251030445690454,0.4221989838703957
market_regime,volatile_trend,all,14702,-298645.49999999796,0.8753168399638416,0.4234117807101075,-20.3132566997686,-369308.6250000011,21.1927578896873,14.132967718535934,28.252548060838667,4.01154218311007e-09
regime_example,Expiry Proxy,all,12602,-447077.24999999977,0.7752383343966194,0.4073162990001587,-35.47669020790349,-446941.8750000003,6.029324381552414,-0.7334651512399581,12.792113914344785,0.08056343162142936
regime_example,Gap Opening,all,1170,20065.124999999447,1.096511606933494,0.48034188034188036,17.149679487179014,-10372.125000000011,58.655694076634916,31.53925073415147,85.77213741911837,2.238343109030816e-05
regime_example,High Volatility,all,20804,-9436.874999995765,0.9973960572592173,0.46015189386656413,-0.45360868102267665,-160717.50000000023,41.05240590843322,34.471131739413224,47.63368007745322,2.2576164174989994e-34
regime_example,Low Volatility,all,10388,-877936.8749999972,0.3907181238043277,0.3058336542164035,-84.51452396996507,-877756.1249999941,-43.00850938050917,-48.12740569472355,-37.889613066294785,6.255940418202328e-61
regime_example,Range,all,17970,-809427.3750000012,0.7088143543840407,0.39482470784641066,-45.04325959933229,-809876.9999999983,-3.5372450098763863,-9.213620731442713,2.1391307116899405,0.22194294675480733
regime_example,Trending,all,28582,-1076090.2499999937,0.7570283217486954,0.40063676439717305,-37.649228535441665,-1076288.9999999937,3.8567860540142362,-1.0774672383262969,8.791039346354768,0.12552120337983944
market_regime,mixed,ce,12367,-730332.3749999998,0.6225268672152527,0.38093312848710276,-59.0549345031131,-730481.2500000026,-8.249046990367965,-15.024285300662598,-1.4738086800733319,0.01701625962233237
market_regime,range,ce,8619,-486100.87500000186,0.6421946581584066,0.377770042928414,-56.39875565610881,-497702.6250000001,-5.592868143363674,-13.558780656622782,2.3730443698954335,0.16878564900911588
market_regime,trend,ce,5009,-245872.49999999726,0.6839080736837561,0.3867039329207427,-49.086144939109055,-249677.99999999648,1.7197425736360827,-8.55491921085635,11.994404358128515,0.7428670404298824
market_regime,volatile_trend,ce,7351,-231867.37500000017,0.8125646635283607,0.4155897156849408,-31.54229016460348,-242051.25000000023,19.26359734814166,9.347749948857057,29.17944474742626,0.00014026078988448528
regime_example,Expiry Proxy,ce,6301,-310577.6249999959,0.7001025479842764,0.39073162990001586,-49.29021187113092,-334849.49999999546,1.5156756416142159,-8.019795478993379,11.05114676222181,0.7553866649373164
regime_example,Gap Opening,ce,585,17974.499999999607,1.1790792728033486,0.48717948717948717,30.725641025640353,-13428.749999999929,81.53152853838549,42.73394650274502,120.32911057402595,3.807519193522505e-05
regime_example,High Volatility,ce,10402,-131954.25000000527,0.9292364174294799,0.4544318400307633,-12.685469140550401,-157855.50000000413,38.120418372194735,28.86382688749493,47.37700985689454,6.935117352283577e-16
regime_example,Low Volatility,ce,5194,-515321.62500000227,0.31880433564894306,0.29110512129380056,-99.21479110512173,-515085.0000000031,-48.408903592376596,-55.33165654550482,-41.48615063924837,9.380621880740036e-43
regime_example,Range,ce,8985,-482205.3750000009,0.6625017913207154,0.3821925431274346,-53.667821368948346,-493807.12499999936,-2.8619338562032084,-10.871305044635847,5.14743733222943,0.4837066295383427
regime_example,Trending,ce,14291,-662981.9999999976,0.7088364125102962,0.3932544958365405,-46.391575117206465,-665962.4999999966,4.414312395538673,-2.5278868513942054,11.35651164247155,0.21265483961630216
market_regime,mixed,pe,12367,-462717.3749999977,0.746977926266139,0.3961348750707528,-37.41549082234961,-481919.9999999974,-5.209349156182931,-12.208571163448472,1.7898728510826096,0.14462569785528825
market_regime,range,pe,8619,-344983.12499999965,0.7316549473872123,0.4038751595312681,-40.025887573964454,-377624.2500000012,-7.819745907797774,-15.791765450211084,0.15227363461553534,0.05453507790479083
market_regime,trend,pe,5009,-199467.37499999907,0.7357943905736697,0.3930924336194849,-39.8217957676181,-200913.74999999953,-7.615654101451419,-17.7002162452566,2.4689080423537586,0.13883276064479208
market_regime,volatile_trend,pe,7351,-66778.12499999779,0.9423423184232299,0.4312338457352741,-9.084223234933722,-218011.50000000128,23.121918431232956,13.077076400542579,33.16676046192333,6.432078242706054e-06
regime_example,Expiry Proxy,pe,6301,-136499.6250000039,0.8568442405998676,0.42390096810030153,-21.66316854467607,-180816.0000000013,10.542973121490611,0.9629862253827017,20.122960017598523,0.031004073747596905
regime_example,Gap Opening,pe,585,2090.6249999998327,1.0194418870661741,0.4735042735042735,3.5737179487176625,-18840.00000000026,35.779859614884344,-2.114775589010854,73.67449481877955,0.06422441117219158
regime_example,High Volatility,pe,10402,122517.37500000949,1.0696377892000766,0.46587194770236495,11.778251778505046,-122164.49999999744,43.984393444671724,34.63318291790881,53.33560397143464,2.997040360912362e-20
regime_example,Low Volatility,pe,5194,-362615.249999995,0.4702026159654703,0.3205621871390065,-69.81425683480843,-373083.74999999464,-37.60811516864175,-45.12849007784359,-30.087740259439922,1.1078716146389198e-22
regime_example,Range,pe,8985,-327222.0000000003,0.7577927012939858,0.40745687256538676,-36.41869782971622,-355103.25000000146,-4.212556163549543,-12.253540208918945,3.8284278818198594,0.30450717201339333
regime_example,Trending,pe,14291,-413108.2499999961,0.8080229336214575,0.4080190329578056,-28.906881953676866,-431126.25000000227,3.299259712489814,-3.7103847107901062,10.308904135769733,0.3562565206636325
