entry_ts,exit_ts,side,ml_prob,conf_bucket,orb_state,regime,hour_bucket,hold_secs,exit_reason,entry_prem,exit_prem,entry_spot,gross_rs,cost_rs,net_rs,label_correct
2024-01-11 14:48:00,2024-01-11 14:52:00,CE,0.5957,0.50-0.60,POST_ORB,RANGE,14:00-15:00,240.0,Stop Loss,38.45,38.92,21650.0,30.55,66.0,-35.45,0
2024-01-12 10:12:00,2024-01-12 10:14:00,CE,0.6164,0.60-0.70,POST_ORB,TREND,10:00-11:00,120.0,Stop Loss,104.92,104.64,21802.4,-18.2,66.0,-84.2,0
2024-01-12 14:00:00,2024-01-12 14:02:00,CE,0.5253,0.50-0.60,POST_ORB,TREND,14:00-15:00,120.0,Stop Loss,56.05,54.43,21881.4,-105.3,66.0,-171.3,0
2024-01-12 14:15:00,2024-01-12 14:18:00,CE,0.5099,0.50-0.60,POST_ORB,RANGE,14:00-15:00,180.0,Stop Loss,51.21,53.53,21877.0,150.8,66.0,84.8,1
2024-01-12 14:23:00,2024-01-12 14:29:00,CE,0.5124,0.50-0.60,POST_ORB,RANGE,14:00-15:00,360.0,Stop Loss,48.43,47.43,21886.9,-65.0,66.0,-131.0,1
2024-01-12 14:39:00,2024-01-12 14:41:00,CE,0.5317,0.50-0.60,POST_ORB,TREND,14:00-15:00,120.0,Stop Loss,42.32,34.14,21927.0,-531.7,66.0,-597.7,0
2024-01-12 14:48:00,2024-01-12 14:49:00,CE,0.5889,0.50-0.60,POST_ORB,TREND,14:00-15:00,60.0,Stop Loss,38.45,27.22,21915.5,-729.95,66.0,-795.95,0
2024-01-15 09:41:00,2024-01-15 09:44:00,CE,0.6091,0.60-0.70,POST_ORB,TREND,09:15-10:00,180.0,Stop Loss,109.89,102.59,22054.45,-474.5,66.0,-540.5,0
2024-01-15 10:26:00,2024-01-15 10:34:00,CE,0.6452,0.60-0.70,POST_ORB,RANGE,10:00-11:00,480.0,Stop Loss,102.59,105.52,22013.45,190.45,66.0,124.45,1
2024-01-15 14:15:00,2024-01-15 14:19:00,CE,0.511,0.50-0.60,POST_ORB,TREND,14:00-15:00,240.0,Stop Loss,51.21,52.21,22063.1,65.0,66.0,-1.0,0
2024-01-15 14:48:00,2024-01-15 14:49:00,CE,0.5369,0.50-0.60,POST_ORB,RANGE,14:00-15:00,60.0,Stop Loss,38.45,33.89,22087.3,-296.4,66.0,-362.4,1
2024-01-15 14:54:00,2024-01-15 14:55:00,CE,0.594,0.50-0.60,POST_ORB,RANGE,14:00-15:00,60.0,Stop Loss,35.63,30.94,22088.85,-304.85,66.0,-370.85,1
2024-01-16 10:30:00,2024-01-16 10:41:00,CE,0.5214,0.50-0.60,POST_ORB,RANGE,10:00-11:00,660.0,Stop Loss,101.92,105.24,22091.4,215.8,66.0,149.8,1
2024-01-16 14:21:00,2024-01-16 14:24:00,CE,0.5121,0.50-0.60,POST_ORB,RANGE,14:00-15:00,180.0,Stop Loss,49.14,44.57,22049.85,-297.05,66.0,-363.05,0
2024-01-16 14:29:00,2024-01-16 14:31:00,CE,0.5265,0.50-0.60,POST_ORB,RANGE,14:00-15:00,120.0,Stop Loss,46.23,47.0,22040.9,50.05,66.0,-15.95,0
2024-01-16 14:48:00,2024-01-16 14:52:00,CE,0.6301,0.60-0.70,POST_ORB,RANGE,14:00-15:00,240.0,Stop Loss,38.45,38.12,22042.5,-21.45,66.0,-87.45,0
2024-01-16 14:57:00,2024-01-16 15:03:00,CE,0.7505,0.70-0.80,POST_ORB,RANGE,14:00-15:00,360.0,TIME_EXIT_WEAK,34.14,30.68,22038.0,-224.9,66.0,-290.9,0
2024-01-17 14:21:00,2024-01-17 14:26:00,PE,0.6255,0.60-0.70,POST_ORB,RANGE,14:00-15:00,300.0,Stop Loss,49.14,50.22,21631.75,70.2,66.0,4.2,1
2024-01-17 14:31:00,2024-01-17 14:32:00,PE,0.7329,0.70-0.80,POST_ORB,TREND,14:00-15:00,60.0,Stop Loss,45.48,35.99,21594.05,-616.85,66.0,-682.85,0
2024-01-17 14:41:00,2024-01-17 14:46:00,PE,0.7068,0.70-0.80,POST_ORB,TREND,14:00-15:00,300.0,Stop Loss,41.49,42.37,21583.3,57.2,66.0,-8.8,1
2024-01-17 15:00:00,2024-01-17 15:02:00,PE,0.7294,0.70-0.80,POST_ORB,TREND,15:00+,120.0,Stop Loss,32.57,27.33,21569.4,-340.6,66.0,-406.6,1
2024-01-17 15:07:00,2024-01-17 15:08:00,PE,0.7562,0.70-0.80,POST_ORB,TREND,15:00+,60.0,Stop Loss,28.58,23.64,21553.55,-321.1,66.0,-387.1,0
