trade_id,side,date,pnl,mfe_rs,mae_rs,capture_pct,giveback_pct,holding_bars,outcome
ce_0,ce,2025-08-21 14:44:00,-135.37500000000546,136.49999999997817,166.49999999997817,-100.0,199.17582417584404,13.0,loss
pe_0,pe,2025-08-21 14:44:00,-112.87500000000546,166.49999999997817,136.49999999997817,-100.0,167.79279279280496,13.0,loss
ce_1,ce,2025-08-21 14:45:00,-78.74999999998363,246.00000000002183,158.99999999997817,-69.07894736839346,132.01219512194174,13.0,loss
pe_1,pe,2025-08-21 14:45:00,-144.00000000001637,158.99999999997817,246.00000000002183,-100.0,190.5660377358718,13.0,loss
ce_2,ce,2025-08-21 14:46:00,-249.75000000003277,17.999999999956344,387.00000000004366,,200.0,13.0,loss
pe_2,pe,2025-08-21 14:46:00,27.000000000032745,387.00000000004366,17.999999999956344,10.588235294128676,93.02325581394581,13.0,win
ce_3,ce,2025-08-21 14:47:00,-263.25,0.0,405.0,,,13.0,loss
pe_3,pe,2025-08-21 14:47:00,40.5,405.0,0.0,14.835164835164836,90.0,13.0,win
ce_4,ce,2025-08-21 14:48:00,-218.62499999999451,15.0,256.4999999999782,,200.0,13.0,loss
pe_4,pe,2025-08-21 14:48:00,-37.500000000010914,256.4999999999782,15.0,-30.12048192772489,114.61988304094118,13.0,loss
ce_5,ce,2025-08-21 14:49:00,-193.50000000003277,77.99999999995634,282.00000000004366,,200.0,13.0,loss
pe_5,pe,2025-08-21 14:49:00,-40.49999999996726,282.00000000004366,77.99999999995634,-26.999999999970314,114.36170212764574,13.0,loss
ce_6,ce,2025-08-21 14:50:00,-231.7499999999673,27.000000000043656,332.99999999995634,,200.0,13.0,loss
pe_6,pe,2025-08-21 14:50:00,-2.250000000032742,332.99999999995634,27.000000000043656,-1.1194029850911593,100.67567567568561,13.0,loss
ce_7,ce,2025-08-21 14:51:00,-247.49999999998363,6.000000000021828,353.9999999999782,,200.0,13.0,loss
pe_7,pe,2025-08-21 14:51:00,13.499999999983627,353.9999999999782,6.000000000021828,6.081081081074304,96.18644067797048,13.0,win
ce_8,ce,2025-08-21 14:52:00,-312.7499999999891,0.0,602.9999999999563,,,13.0,loss
pe_8,pe,2025-08-21 14:52:00,139.49999999997817,602.9999999999563,0.0,29.61783439490257,76.86567164179299,12.0,win
ce_9,ce,2025-08-21 14:53:00,-284.99999999995634,27.000000000043656,545.9999999999127,,200.0,13.0,loss
pe_9,pe,2025-08-21 14:53:00,104.24999999994544,545.9999999999127,27.000000000043656,25.18115942028199,80.90659340660035,11.0,win
ce_10,ce,2025-08-21 14:54:00,-281.62500000000546,31.499999999978172,541.4999999999782,,200.0,13.0,loss
pe_10,pe,2025-08-21 14:54:00,100.87499999999454,541.4999999999782,31.499999999978172,24.633699633699614,81.37119113573434,10.0,win
ce_11,ce,2025-08-21 14:55:00,-224.25000000002183,107.99999999995634,465.0,,200.0,13.0,loss
pe_11,pe,2025-08-21 14:55:00,43.500000000010914,465.0,107.99999999995634,13.063063063066341,90.64516129032023,9.0,win
ce_12,ce,2025-08-21 14:56:00,-236.62500000000543,91.49999999997817,481.4999999999782,,200.0,13.0,loss
pe_12,pe,2025-08-21 14:56:00,55.87499999999454,481.4999999999782,91.49999999997817,15.98712446351875,88.39563862928411,8.0,win
ce_13,ce,2025-08-21 14:57:00,-151.12499999999454,210.0,376.4999999999782,-100.0,171.9642857142831,13.0,loss
pe_13,pe,2025-08-21 14:57:00,-26.250000000010917,376.4999999999782,210.0,-10.73619631902383,106.97211155378817,13.0,loss
ce_14,ce,2025-08-21 14:58:00,-221.99999999997272,117.00000000004366,473.9999999999782,,200.0,13.0,loss
pe_14,pe,2025-08-21 14:58:00,45.74999999997817,473.9999999999782,117.00000000004366,13.37719298245061,90.34810126582694,6.0,win
ce_15,ce,2025-08-21 14:59:00,-309.75000000000546,0.0,591.0000000000218,,,13.0,loss
pe_15,pe,2025-08-21 14:59:00,133.5000000000109,591.0000000000218,0.0,29.084967320262432,77.41116751268933,5.0,win
ce_16,ce,2025-08-21 15:00:00,-230.6250000000109,37.5,349.50000000004366,,200.0,13.0,loss
pe_16,pe,2025-08-21 15:00:00,3.375000000021828,349.50000000004366,37.5,1.5517241379407587,99.03433476394238,13.0,win
ce_17,ce,2025-08-21 15:01:00,-164.24999999999454,126.00000000002183,261.0000000000218,,200.0,13.0,loss
pe_17,pe,2025-08-21 15:01:00,-62.99999999999454,261.0000000000218,126.00000000002183,-48.83720930231309,124.13793103447865,13.0,loss
ce_18,ce,2025-08-21 15:02:00,-267.7499999999891,13.500000000021828,450.0,,200.0,13.0,loss
