iter	Passed	Remaining
402	14243	3428
403	14275	3392
404	14308	3356
405	14344	3321
406	14374	3284
407	14407	3248
408	14443	3213
409	14482	3178
410	14515	3143
411	14548	3107
412	14582	3071
413	14617	3036
414	14650	3000
415	14683	2964
416	14714	2928
417	14744	2892
418	14776	2856
419	14809	2820
420	14841	2784
421	14872	2748
422	14902	2712
423	14935	2677
424	14983	2644
425	15027	2610
426	15068	2576
427	15106	2541
428	15141	2505
429	15173	2470
430	15208	2434
431	15237	2398
432	15271	2363
433	15305	2327
434	15336	2291
435	15368	2255
436	15400	2220
437	15434	2184
438	15467	2149
439	15503	2114
440	15541	2079
441	15578	2044
442	15611	2008
443	15642	1972
444	15671	1936
445	15703	1901
446	15733	1865
447	15766	1830
448	15798	1794
449	15830	1758
450	15862	1723
451	15897	1688
452	15928	1652
453	15961	1617
454	15994	1581
455	16032	1547
456	16063	1511
457	16095	1475
458	16126	1440
459	16158	1405
460	16187	1369
461	16222	1334
462	16257	1299
463	16291	1263
464	16322	1228
465	16355	1193
466	16386	1157
467	16417	1122
468	16448	1087
469	16482	1052
470	16514	1016
471	16548	981
472	16582	946
473	16614	911
474	16647	876
475	16678	840
476	16709	805
477	16747	770
478	16780	735
479	16813	700
480	16843	665
481	16874	630
482	16909	595
483	16940	560
484	16973	524
485	17006	489
486	17033	454
487	17067	419
488	17098	384
489	17129	349
490	17161	314
491	17191	279
492	17219	244
493	17251	209
494	17282	174
495	17312	139
496	17345	104
497	17377	69
498	17410	34
499	17442	0
