iter	Logloss
0	0.6404526757
1	0.5950993403
2	0.548761545
3	0.5005824437
4	0.462725389
5	0.4324247851
6	0.4038930639
7	0.3795750037
8	0.3462435645
9	0.325700209
10	0.3082049485
11	0.290063064
12	0.2743590675
13	0.2613324647
14	0.2482404245
15	0.237803908
16	0.2255371099
17	0.2165563643
18	0.2025605271
19	0.1940516847
20	0.1878280773
21	0.1805902137
22	0.1706714025
23	0.166012223
24	0.1600973913
25	0.1523067783
26	0.1489227842
27	0.1448124953
28	0.141224751
29	0.1362220352
30	0.1328807846
31	0.1302945976
32	0.1270538435
33	0.1242301679
34	0.1200319538
35	0.1175545223
36	0.1152295075
37	0.1128182337
38	0.1111456591
39	0.1087647571
40	0.1067861672
41	0.1051779233
42	0.1042355104
43	0.1031864394
44	0.1022989856
45	0.1012271128
46	0.1008056597
47	0.1003261265
48	0.09923093211
49	0.09876587507
50	0.0984319923
51	0.09796043417
52	0.09767674106
53	0.0972843564
54	0.09706259817
55	0.09672002997
56	0.09653418983
57	0.09603436886
58	0.09561764939
59	0.09537715801
60	0.09512915653
61	0.09493482342
62	0.0946974777
63	0.09456515882
64	0.0944431515
65	0.09435361642
66	0.09421049182
67	0.0940383042
68	0.09392942555
69	0.09362530996
70	0.09348825249
71	0.09337829584
72	0.09328630235
73	0.0930690531
74	0.09280171319
75	0.09270573943
76	0.09263910958
77	0.09256876695
78	0.09241325083
79	0.09220596514
80	0.09213075239
81	0.09207360021
82	0.09196488974
83	0.09189564307
84	0.09181955638
85	0.0917390821
86	0.09169059279
87	0.09162327424
88	0.09151432539
89	0.09143783
90	0.09132463025
91	0.09124947734
92	0.09114902864
93	0.09100606991
94	0.09094889084
95	0.0908947236
96	0.09084193687
97	0.09076884789
98	0.09071923828
99	0.09063610037
100	0.09057178009
101	0.09053640598
102	0.09048213585
103	0.09044005807
104	0.09037194654
105	0.09033906895
106	0.09029818192
107	0.0902445637
108	0.09021568255
109	0.09017410985
110	0.09013173631
111	0.09008188708
112	0.0900398008
113	0.09001216837
114	0.0899583589
115	0.0899166416
116	0.08988835703
117	0.08985715044
118	0.08982093281
119	0.08979048666
120	0.08975920268
121	0.08972615622
122	0.08970127234
123	0.0896560887
124	0.089608794
125	0.08957586789
126	0.08953908206
127	0.08949572496
128	0.08946972988
129	0.0894371537
130	0.08940903085
131	0.0893779892
132	0.08934670692
133	0.0893200381
134	0.08928279867
135	0.08924300712
136	0.08922641293
137	0.0891910754
138	0.08917060799
139	0.08915343019
140	0.08912987817
141	0.08908695527
142	0.08906213947
143	0.08903351825
144	0.08899369321
145	0.08897076087
146	0.08894482955
147	0.0889155999
148	0.08888462316
149	0.08885692893
150	0.08882003144
151	0.08879706578
152	0.08875733459
153	0.0887225094
154	0.08870164761
155	0.08866876798
156	0.08863804602
157	0.08860357179
158	0.08857303363
159	0.08855104302
160	0.0885281238
161	0.08849732193
162	0.08846412856
163	0.08844340201
164	0.08841602526
165	0.08837364478
166	0.08835354687
167	0.08832852082
168	0.08830588944
169	0.088263633
170	0.08823320943
171	0.08821684572
172	0.08819118303
173	0.08816725898
174	0.08814796755
175	0.08812550282
176	0.08810697229
177	0.08808036488
178	0.08804713888
179	0.08801765447
180	0.08798444356
181	0.08796301179
182	0.08794378352
183	0.08792656035
184	0.0879095157
185	0.087879537
186	0.08785550502
187	0.08783701873
188	0.08782105116
189	0.08781101449
190	0.08779621425
191	0.08776457361
192	0.08774105118
193	0.08772936
194	0.08771667529
195	0.08770014573
196	0.08768557012
197	0.08767482947
198	0.0876585532
199	0.08764081449
200	0.08762204344
201	0.08760119925
202	0.08757695244
203	0.08754443278
204	0.08752153298
205	0.08750200696
206	0.08748944114
207	0.08747493009
208	0.08744892028
209	0.08743619933
210	0.08742725959
211	0.08741831235
212	0.08739242055
213	0.08737247524
214	0.08736522832
215	0.08734024145
216	0.08732063299
217	0.08730424931
218	0.08728937209
219	0.08727616728
220	0.08725950115
221	0.08723861062
222	0.08722530623
223	0.0872122574
224	0.08718170833
225	0.08715444815
226	0.08713631413
227	0.08711338159
228	0.08708933004
229	0.08706647029
230	0.08704427462
231	0.08701779829
232	0.08700274184
233	0.0869833275
234	0.08694691606
235	0.08693010421
236	0.08691751902
237	0.08690389831
238	0.08688177769
239	0.08686409561
240	0.08684727132
241	0.08683421644
242	0.08681582073
243	0.08680409306
244	0.08679128136
245	0.08676418548
246	0.08674316415
247	0.08671615124
248	0.08670467294
249	0.08668244596
250	0.08666107466
251	0.08664370897
252	0.08662613645
253	0.0866047598
254	0.08658785387
255	0.08657566857
256	0.08654911703
257	0.08651214796
258	0.08649003502
259	0.08646723896
260	0.08645405057
261	0.08643613206
262	0.08642059355
263	0.08639034261
264	0.08637606622
265	0.08636472156
266	0.08633960541
267	0.0863261146
268	0.08630444982
269	0.08628258008
270	0.08625991374
271	0.0862384177
272	0.08622219669
273	0.08615195275
274	0.08613174063
275	0.08610884204
276	0.08609347362
277	0.08607893326
278	0.08605944864
279	0.08604429083
280	0.08602077383
281	0.08599528279
282	0.08598446793
283	0.08597517872
284	0.08596056286
285	0.08594704919
286	0.08593544936
287	0.08592125301
288	0.08591235667
289	0.08589217055
290	0.08587288224
291	0.08585414162
292	0.08583876247
293	0.08582651878
294	0.08581444644
295	0.08580231936
296	0.08578793143
297	0.08577884752
298	0.0857624051
299	0.08575468813
300	0.08573536853
301	0.08572038676
302	0.08570422751
303	0.08569256761
304	0.08568566114
305	0.08567669173
306	0.08565705628
307	0.08564601368
308	0.08563725366
309	0.08563037943
310	0.08560448707
311	0.08558356587
312	0.08557002656
313	0.0855517966
314	0.085539334
315	0.08552507756
316	0.0855110561
317	0.08549139396
318	0.08548052243
319	0.08546268546
320	0.08544911394
321	0.08543540971
322	0.08542030759
323	0.08540652153
324	0.08539890641
325	0.08538547805
326	0.08537156735
327	0.08535719314
328	0.08533907181
329	0.08533168942
330	0.08531440646
331	0.08529142445
332	0.08528335012
333	0.08527265814
334	0.08525438458
335	0.08523742251
336	0.08521687403
337	0.08520029361
338	0.08517553381
339	0.08516467506
340	0.08515725131
341	0.08513992762
342	0.08512416667
343	0.08510976377
344	0.08509269506
345	0.08507951752
346	0.08505880485
347	0.08505110413
348	0.08503040665
349	0.08500322074
350	0.08498136184
351	0.0849710969
352	0.08494671056
353	0.08492937513
354	0.08490409299
355	0.08489811203
356	0.08488894504
357	0.08486370337
358	0.08483668789
359	0.08482603321
360	0.08480103605
361	0.08478817611
362	0.08477585165
363	0.08476333697
364	0.08475063337
365	0.08473897215
366	0.08472550084
367	0.08471673817
368	0.08470153549
369	0.08468765992
370	0.08466844508
371	0.08464819206
372	0.08463791404
373	0.08462850074
374	0.0846134476
375	0.08460308464
376	0.08459410515
377	0.08458079314
378	0.08455812738
379	0.08453416265
380	0.08451788914
381	0.08450703834
382	0.08448153054
383	0.08447069009
384	0.08445601699
385	0.084444868
386	0.08443242156
387	0.08442300944
388	0.08441111511
389	0.08440018051
390	0.08438722247
391	0.08437489228
392	0.08436858051
393	0.08435282783
394	0.08433445896
395	0.08432399344
396	0.084312859
397	0.08429501893
398	0.08427714642
399	0.08427295101
400	0.08425481127
401	0.08424575273
402	0.08423315484
403	0.08422752074
404	0.08421509193
405	0.08420540211
406	0.08418217425
407	0.08416402699
408	0.08414982606
409	0.08413333737
410	0.08412533328
411	0.0841069735
412	0.08409859194
413	0.08408874793
414	0.08406956478
415	0.0840596384
416	0.0840404945
417	0.08403234797
418	0.08402406533
419	0.08400607676
420	0.08398992791
421	0.08397537379
422	0.08395928709
423	0.0839522175
424	0.08393103189
425	0.0839129666
426	0.0838993875
427	0.0838767247
428	0.08386385839
429	0.083851015
430	0.08383704311
431	0.08382665026
432	0.08381975815
433	0.08380445523
434	0.08378965613
435	0.0837828491
436	0.08377276576
437	0.08375594052
438	0.08374502698
439	0.08372286494
440	0.08371157898
441	0.08369562593
442	0.08368082978
443	0.08366183234
444	0.08365390751
445	0.08363549728
446	0.08361375256
447	0.08359428539
448	0.08358112937
449	0.08356934834
450	0.08355335683
451	0.08353595104
452	0.08351846929
453	0.08350511291
454	0.08349292426
455	0.0834723756
456	0.08345726124
457	0.08344599689
458	0.08343527994
459	0.08341923039
460	0.08340108756
461	0.08338984045
462	0.08336539506
463	0.08335059481
464	0.08333377224
465	0.08332407909
466	0.08331515784
467	0.08329838347
468	0.08328303962
469	0.08327131585
470	0.08325359812
471	0.08323880951
472	0.08322233138
473	0.08320649583
474	0.083190958
475	0.08317408977
476	0.0831615247
477	0.08314919703
478	0.08314210105
479	0.08312441617
480	0.08310351087
481	0.08308161363
482	0.08306133073
483	0.08304072433
484	0.08302348621
485	0.0830068918
486	0.08299093229
487	0.08298224515
488	0.08297192514
489	0.08296250208
490	0.08294810574
491	0.08293244892
492	0.08291816249
493	0.08290138731
494	0.08288376916
495	0.08287062865
496	0.08285248531
497	0.08284463704
498	0.0828285957
499	0.08282057565
