target,folds,auc_mean,auc_std,auc_min,auc_max,average_precision_mean,average_precision_std,average_precision_min,average_precision_max,brier_mean,brier_std,brier_min,brier_max,ece_mean,ece_std,ece_min,ece_max,threshold_mean,threshold_std,threshold_min,threshold_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,expectancy_mean,expectancy_std,expectancy_min,expectancy_max,profit_factor_mean,profit_factor_std,profit_factor_min,profit_factor_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,trade_count_mean,trade_count_std,trade_count_min,trade_count_max,prob_mean_mean,prob_mean_std,prob_mean_min,prob_mean_max,probability_psi_mean_fold_to_fold,probability_psi_max_fold_to_fold
directional_ce,6,0.6407008012810388,0.011285842582470845,0.6266164072272278,0.6607357679300045,0.4184396862223376,0.0381702361966515,0.3512823933148763,0.4533354791711788,0.2034440883508445,0.0233067309775203,0.15372698298097343,0.22074230591945093,0.04418977968360996,0.025400797501495844,0.018756172755568474,0.09194494898707216,0.5411600729021285,0.04242884137160816,0.5074487895716947,0.6285714285714286,0.5279352012701223,0.033196640607642935,0.4920353982300885,0.5787056367432151,0.06054577718746665,0.023702000924151912,0.0310126582278481,0.08828025477707006,174.31178855639098,34.79465629106569,125.21251768034028,218.1707724425876,1.7752996951667959,0.21396024429497656,1.5598908131517344,2.0955585887621693,-56928.25000000004,21547.83651045397,-84472.5000000005,-19666.124999999724,2610.5,949.6281289711955,1403.0,4242.0,0.29306447526577695,0.04856007170588735,0.20888524922390023,0.34710902479328704,2.5600207115448472,6.0830999959296275
directional_pe,6,0.6225529649123399,0.010643730946604077,0.6062036250522179,0.6367264635304273,0.3975464872930469,0.04769332955060598,0.2997906122830673,0.44975359516069063,0.2072119761469875,0.022769987116059317,0.15947879019178282,0.22372938759405697,0.04744997934636331,0.024266719847794185,0.015424726751473439,0.09091903720140071,0.45188823572112685,0.05225324330180457,0.3684210526315789,0.511825922421949,0.4483755359548815,0.03529182695047139,0.3791050508930286,0.4977849375755135,0.0938279276923616,0.057054149183660356,0.02076249149897988,0.19658664666166542,8.636504396245583,21.330445888727933,-33.98593239869388,30.526297642928125,1.0415009809919447,0.14020190318721545,0.7642387917429186,1.2138428704112298,-112851.50000000029,57774.30978181825,-211013.99999999837,-47379.00000000069,4932.5,3304.108893988413,1166.0,11588.0,0.30062937548563,0.04257616744690046,0.2471726232043093,0.3444289606910263,1.9339644030140195,3.0700877114213796
quality_profitable_ce,6,0.5903563674479256,0.007636969268523321,0.5817481525262339,0.6064788401200442,0.42069166056581525,0.025715556383889168,0.36937855590483126,0.440074724663569,0.22361085717046505,0.014825938439916527,0.1928800824174868,0.2388707601163459,0.04184905260254334,0.02873252817780253,0.013217343815957626,0.09875793921862523,0.5386926493690141,0.05595808468765694,0.47140039447731746,0.6458333333333334,0.5587060992301612,0.05102860070334588,0.5054015969938939,0.6461377870563675,0.039739820601969615,0.020848777516832395,0.016774148077668534,0.07740728750764361,219.69139416005052,59.05080773796879,119.06135509628969,304.2279488517744,1.9692734251968613,0.37639872226243826,1.5294150127448702,2.503391912411866,-64594.06250000024,37261.668499035666,-126797.99999999968,-25242.75000000059,1939.1666666666667,1185.865986901087,926.0,4258.0,0.3272427711544719,0.04266953332933493,0.27230831318930876,0.3798957072106833,3.2843424279507305,6.123866166843266
quality_profitable_pe,6,0.5685939490326005,0.010160201926165876,0.5539669464292019,0.5835861109451128,0.3894023002054235,0.03910115849266326,0.3089615484367654,0.43166621268315614,0.22401023509933227,0.014018888678773773,0.1943767110506169,0.23447156363729776,0.043550053303829134,0.02248706634059084,0.012716532118719733,0.0787049298111897,0.4415894706704531,0.06699822265978968,0.3191747572815534,0.5218579234972679,0.4228027422397458,0.042495080427468405,0.34439480961497554,0.4721371708511941,0.11196724428029255,0.09143403049245892,0.03185924869234427,0.28537021493997006,-1.3488004612722264,36.53134092294383,-59.0424377791946,43.9969982847329,0.9880015077409553,0.2295835794594348,0.6040627438981072,1.3086853771505749,-183415.1249999994,141935.57326069963,-440291.99999999924,-25951.125000001135,7152.5,6158.956641888841,1749.0,19021.0,0.33832442108698846,0.03761061191513108,0.28249295596259866,0.3809574202755765,2.602341289309704,5.52928790093876
stop_hit_ce,6,0.7040855663135662,0.04559220924062544,0.6126699874524388,0.7542512368569398,0.23270594032023417,0.05382876941128348,0.14465335890944278,0.292925852301412,0.1040207242757808,0.028478294782116352,0.0492443888480339,0.12706165979630524,0.03325667762587296,0.022209798342751004,0.0103664430786629,0.07803493718824671,0.27721255902718556,0.11311447307799888,0.06312709030100334,0.40700483091787437,0.2969497455304518,0.0930408392241784,0.16657506869847613,0.4055813953488372,0.2836593906150616,0.30906899213334116,0.05613870665417057,0.9179515418502202,98.43945596855112,123.44512067755832,-50.1606045465904,299.9747142857167,1.2992616593986988,0.4338110970267866,0.6920879681189354,1.9779748485583206,-601254.125000003,1089986.0730714614,-3034764.0000000144,-60431.24999999956,13617.166666666666,21096.95483094394,1750.0,60045.0,0.11014225954570749,0.032758745808652734,0.06562106608063173,0.1482026290671532,1.9163768851203387,4.826470267032024
stop_hit_pe,6,0.7687207853388328,0.028965232107456825,0.7289607631546727,0.8199939988010085,0.3054857708731217,0.020028929398517997,0.28605673812960214,0.3374237663168781,0.09029968743705163,0.02690411756117237,0.040057235917321674,0.11829644036626259,0.02458947651018546,0.01101345368263667,0.008378409945179889,0.04475280323856148,0.3552823986724318,0.1388654792383665,0.08927727916863486,0.4891774891774891,0.41222334951692635,0.08643161134830583,0.25061025223759154,0.4915195569401177,0.2596279220253566,0.21827788381920443,0.031157528285465624,0.721170731707317,46.52355708138481,92.90861657124742,-73.4146509070914,229.41718587746618,1.1405084886108081,0.23452906328285095,0.7985874937714336,1.552280799115566,-142132.24999999994,67758.69827522604,-239160.37500000081,-41814.74999999985,7292.166666666667,10033.79701171108,888.0,29496.0,0.10504671990607901,0.02739382544632722,0.0581636674820862,0.1407987389878492,2.47548574727264,5.898299015729463
target_hit_ce,6,0.6583294849430433,0.011130233507726052,0.6406568707348381,0.6704739994273624,0.45802340783288975,0.0510379428363379,0.36657634612598144,0.5036536155453771,0.20383617987732014,0.023730396701204533,0.1532563113432301,0.22242647413664843,0.04865788569310072,0.031142437889236794,0.014559371928671414,0.10867058914438184,0.6193969536214186,0.03424670526082545,0.5709779179810726,0.6679802955665025,0.6301947097122089,0.02192092092871477,0.6042230644288035,0.6637512147716229,0.06419374475914146,0.0340073143119862,0.027192784667418264,0.12840511337695937,218.35797756496925,73.10512299905595,122.76576327433602,321.8880964730295,1.934075689009805,0.3542005383735775,1.5711154610066087,2.3686474771894366,-68436.00000000025,37708.319578335526,-136780.12499999948,-29492.25000000035,2510.5,1545.507656618584,964.0,5576.0,0.3007442934921286,0.05430411523343134,0.2127634631749696,0.35555181041409895,2.4127069243231025,4.808999442152732
target_hit_pe,6,0.6384291410273836,0.004895626256149174,0.6329151379081388,0.647016449791778,0.42659842409452803,0.05772015956135609,0.30956737121084527,0.48755630436659314,0.20850232775274344,0.023260562822282522,0.1598291642164412,0.2258080308538742,0.05084311047827825,0.02572345186637854,0.017489286259538467,0.09672715127924114,0.49129627710190826,0.10098886246896918,0.3229170829170221,0.6134397870924813,0.4940526063227277,0.047405407583484487,0.40053262316910787,0.5465544450289321,0.10533968680850102,0.06763640363602268,0.032336655592469545,0.23253416813010613,17.970712119048297,37.416898640560085,-32.969440745671896,88.93644067796541,1.0906335212802862,0.22629790449181933,0.782333584097552,1.5331724510208573,-114759.99999999971,57589.78678238531,-195672.00000000044,-31252.125000000393,5390.0,3823.9476112171483,1416.0,12721.0,0.30977557289045504,0.047727227197554824,0.25276518866290393,0.3610172038656517,1.4189283528651677,3.0115499415639198
