trade_id,side,date,pnl,cluster,market_regime,confidence,adx,rsi,holding_bars,mfe_points,mae_points
ce_0,ce,2025-08-21 14:44:00,-135.37500000000546,2,mixed,0.2782540919719406,24.79396601122429,40.01452413596802,13.0,4.549999999999272,5.549999999999272
pe_0,pe,2025-08-21 14:44:00,-112.87500000000546,0,mixed,0.3866396761133603,24.79396601122429,40.01452413596802,13.0,5.549999999999272,4.549999999999272
ce_1,ce,2025-08-21 14:45:00,-78.74999999998363,2,trend,0.2782540919719406,25.0108873221566,37.302695894478674,13.0,8.200000000000728,5.299999999999272
pe_1,pe,2025-08-21 14:45:00,-144.00000000001637,1,trend,0.37521815008726,25.0108873221566,37.302695894478674,13.0,5.299999999999272,8.200000000000728
ce_2,ce,2025-08-21 14:46:00,-249.75000000003277,2,mixed,0.2782540919719406,23.29684956142524,45.573708410006056,13.0,0.5999999999985448,12.900000000001455
ce_3,ce,2025-08-21 14:47:00,-263.25,2,mixed,0.2782540919719406,21.70524306931753,46.17737484444949,13.0,0.0,13.5
ce_4,ce,2025-08-21 14:48:00,-218.62499999999451,2,mixed,0.3119718309859154,20.917300371987864,41.25018933188036,13.0,0.5,8.549999999999272
pe_4,pe,2025-08-21 14:48:00,-37.500000000010914,0,mixed,0.4239558707643814,20.917300371987864,41.25018933188036,13.0,8.549999999999272,0.5
ce_5,ce,2025-08-21 14:49:00,-193.50000000003277,2,mixed,0.3119718309859154,20.705507183856472,39.65532439963754,13.0,2.599999999998545,9.400000000001455
pe_5,pe,2025-08-21 14:49:00,-40.49999999996726,0,mixed,0.3834995466908431,20.705507183856472,39.65532439963754,13.0,9.400000000001455,2.599999999998545
ce_6,ce,2025-08-21 14:50:00,-231.7499999999673,2,mixed,0.3119718309859154,20.228090584958007,41.623002389386926,13.0,0.9000000000014552,11.099999999998545
pe_6,pe,2025-08-21 14:50:00,-2.250000000032742,0,mixed,0.3834995466908431,20.228090584958007,41.623002389386926,13.0,11.099999999998545,0.9000000000014552
ce_7,ce,2025-08-21 14:51:00,-247.49999999998363,2,mixed,0.2782540919719406,19.784775171695088,42.45506494230006,13.0,0.2000000000007276,11.799999999999272
ce_8,ce,2025-08-21 14:52:00,-312.7499999999891,2,mixed,0.2782540919719406,19.026122280852057,42.7063331138979,13.0,0.0,20.099999999998545
ce_9,ce,2025-08-21 14:53:00,-284.99999999995634,2,mixed,0.2782540919719406,18.54847509783173,40.880122539995725,13.0,0.9000000000014552,18.19999999999709
ce_10,ce,2025-08-21 14:54:00,-281.62500000000546,2,mixed,0.2782540919719406,18.41843747896485,40.73203550927592,13.0,1.0499999999992724,18.049999999999272
ce_11,ce,2025-08-21 14:55:00,-224.25000000002183,2,mixed,0.3119718309859154,18.39532430218887,38.19873110921148,13.0,3.599999999998545,15.5
ce_12,ce,2025-08-21 14:56:00,-236.62500000000543,2,mixed,0.3119718309859154,18.96719591358875,39.07882044711355,13.0,3.0499999999992724,16.049999999999272
ce_13,ce,2025-08-21 14:57:00,-151.12499999999454,2,mixed,0.2782540919719406,19.346366445416145,35.20167747088125,13.0,7.0,12.549999999999272
pe_13,pe,2025-08-21 14:57:00,-26.250000000010917,0,mixed,0.3834995466908431,19.346366445416145,35.20167747088125,13.0,12.549999999999272,7.0
ce_14,ce,2025-08-21 14:58:00,-221.99999999997272,2,mixed,0.2782540919719406,19.624860747945625,40.21485344768414,13.0,3.900000000001455,15.799999999999272
ce_15,ce,2025-08-21 14:59:00,-309.75000000000546,2,mixed,0.2782540919719406,19.05300478528002,45.88689303612574,13.0,0.0,19.700000000000728
ce_16,ce,2025-08-21 15:00:00,-230.6250000000109,2,mixed,0.2782540919719406,19.424931998220423,37.89508873974224,13.0,1.25,11.650000000001455
ce_17,ce,2025-08-21 15:01:00,-164.24999999999454,2,mixed,0.2782540919719406,20.128885209756724,35.457948022958576,13.0,4.200000000000728,8.700000000000728
pe_17,pe,2025-08-21 15:01:00,-62.99999999999454,2,mixed,0.3556701030927835,20.128885209756724,35.457948022958576,13.0,8.700000000000728,4.200000000000728
ce_18,ce,2025-08-21 15:02:00,-267.7499999999891,2,mixed,0.2782540919719406,20.671963350562265,40.68056988292836,13.0,0.4500000000007276,15.0
ce_19,ce,2025-08-21 15:03:00,-277.87500000000546,2,mixed,0.2782540919719406,21.17625019559571,41.29446026335973,13.0,0.0,15.450000000000728
ce_20,ce,2025-08-21 15:04:00,-67.12500000004366,2,mixed,0.3195706028075969,22.824453073825413,31.65226482825642,13.0,7.899999999997817,3.150000000001455
pe_20,pe,2025-08-21 15:04:00,-173.9999999999618,2,mixed,0.33991088478676,22.824453073825413,31.65226482825642,13.0,3.150000000001455,7.899999999997817
ce_21,ce,2025-08-21 15:05:00,-246.375,2,mixed,0.2782540919719406,24.354927175037915,41.15597475229007,13.0,0.0,11.25
ce_22,ce,2025-08-21 15:06:00,-125.24999999998909,1,trend,0.3195706028075969,25.77608169759161,36.48750474005919,13.0,4.700000000000728,4.5
pe_22,pe,2025-08-21 15:06:00,-129.75000000000546,1,trend,0.33991088478676,25.77608169759161,36.48750474005919,13.0,4.5,4.700000000000728
ce_23,ce,2025-08-21 15:07:00,-246.74999999999451,1,trend,0.3119718309859154,27.48564076319457,41.466322818925896,13.0,0.0,11.299999999999272
ce_24,ce,2025-08-21 15:08:00,-244.5,1,trend,0.3119718309859154,28.46142066179073,41.24407539551024,13.0,0.0,11.0
ce_25,ce,2025-08-21 15:09:00,-195.0000000000382,1,trend,0.3119718309859154,29.794075816416864,36.97561465440192,13.0,5.349999999998545,15.100000000002185
ce_26,ce,2025-08-21 15:10:00,-191.62500000000543,1,trend,0.3195706028075969,31.47613370454723,36.87287421860698,13.0,5.5,14.950000000000728
ce_27,ce,2025-08-21 15:11:00,-252.37500000002183,2,trend,0.2782540919719406,32.180397430208046,40.09925352958152,13.0,2.7999999999992724,17.650000000001455
ce_28,ce,2025-08-21 15:12:00,-271.4999999999891,2,trend,0.2782540919719406,32.6878738810299,41.119513026761766,13.0,1.950000000000728,18.5
ce_29,ce,2025-08-21 15:13:00,-315.37500000000546,2,trend,0.2782540919719406,32.66229749587758,43.4971688565798,13.0,0.0,20.450000000000728
ce_30,ce,2025-08-21 15:14:00,-208.50000000003277,1,trend,0.3119718309859154,33.5178717480003,36.87686991734719,13.0,3.099999999998545,12.400000000001455
ce_61,ce,2025-08-22 09:30:00,-360.3750000000055,3,volatile_trend,0.3654642223536369,61.03203176882212,20.7215158097963,13.0,0.0,26.450000000000728
ce_62,ce,2025-08-22 09:31:00,-22.875000000060027,3,volatile_trend,0.4076797385620915,62.23416073883162,16.6386658383867,13.0,12.44999999999709,6.350000000002183
pe_62,pe,2025-08-22 09:31:00,-160.12499999994543,3,volatile_trend,0.4310823311748381,62.23416073883162,16.6386658383867,13.0,6.350000000002183,12.44999999999709
pe_63,pe,2025-08-22 09:32:00,-306.7500000000218,3,volatile_trend,0.4310823311748381,63.48612739890383,15.996937851247836,13.0,2.5499999999992724,24.40000000000145
pe_64,pe,2025-08-22 09:33:00,-364.1250000000055,3,volatile_trend,0.4310823311748381,64.65566546861648,15.563155960593193,13.0,0.0,26.950000000000728
pe_65,pe,2025-08-22 09:34:00,-221.62499999997817,3,volatile_trend,0.4310823311748381,64.70289246525155,24.394605981369622,13.0,4.400000000001455,16.75
pe_66,pe,2025-08-22 09:35:00,-165.3749999999509,3,volatile_trend,0.4310823311748381,64.28564449350196,26.936150031164843,13.0,7.55000000000291,15.549999999999272
pe_67,pe,2025-08-22 09:36:00,-179.99999999998363,3,volatile_trend,0.4310823311748381,64.11106322774579,26.736423546126574,13.0,6.900000000001455,16.200000000000728
pe_68,pe,2025-08-22 09:37:00,-268.875,3,volatile_trend,0.4310823311748381,63.94895205240044,25.49907246512801,13.0,2.950000000000728,20.15000000000145
pe_69,pe,2025-08-22 09:38:00,-335.2500000000164,3,volatile_trend,0.4310823311748381,63.88740363535196,24.5840075302546,13.0,0.0,23.100000000002183
pe_70,pe,2025-08-22 09:39:00,-303.37500000004366,3,volatile_trend,0.4310823311748381,63.62480064808391,28.29456667192393,13.0,0.1499999999978172,19.15000000000145
pe_71,pe,2025-08-22 09:40:00,-227.99999999999451,3,volatile_trend,0.4310823311748381,63.42959028101352,31.37825216544688,13.0,3.5,15.799999999999272
ce_72,ce,2025-08-22 09:41:00,-79.49999999994543,3,volatile_trend,0.3119718309859154,62.1354167509661,36.39073739740844,13.0,10.100000000002185,9.19999999999709
pe_72,pe,2025-08-22 09:41:00,-99.75000000006004,3,volatile_trend,0.4518558364712211,62.1354167509661,36.39073739740844,13.0,9.19999999999709,10.100000000002185
ce_73,ce,2025-08-22 09:42:00,-69.37500000001091,3,volatile_trend,0.2782540919719406,60.73461714874588,36.16613428888985,13.0,10.549999999999272,8.75
pe_73,pe,2025-08-22 09:42:00,-109.87499999999454,3,volatile_trend,0.481198410272088,60.73461714874588,36.16613428888985,13.0,8.75,10.549999999999272
ce_74,ce,2025-08-22 09:43:00,-67.50000000001091,3,volatile_trend,0.2782540919719406,59.54724791800759,35.2802487026637,13.0,12.25,11.900000000001455
pe_74,pe,2025-08-22 09:43:00,-75.37499999997817,3,volatile_trend,0.4518558364712211,59.54724791800759,35.2802487026637,13.0,11.900000000001455,12.25
ce_75,ce,2025-08-22 09:44:00,-299.24999999999454,3,volatile_trend,0.2782540919719406,57.028595745074256,44.1987602606355,13.0,1.950000000000728,22.200000000000728
ce_76,ce,2025-08-22 09:45:00,-274.5,3,volatile_trend,0.2782540919719406,54.630797347055655,42.63243024983685,13.0,4.5,24.0
ce_77,ce,2025-08-22 09:46:00,-314.99999999998363,3,volatile_trend,0.2782540919719406,52.04813829701931,44.13734453763305,13.0,2.700000000000728,25.799999999999272
ce_78,ce,2025-08-22 09:47:00,-375.75,3,volatile_trend,0.2782540919719406,49.39920214232601,46.40835102934051,13.0,0.0,28.5
ce_79,ce,2025-08-22 09:48:00,-194.99999999998363,3,volatile_trend,0.2782540919719406,47.51864954042714,40.10102944391173,13.0,7.200000000000728,18.799999999999272
ce_80,ce,2025-08-22 09:49:00,-158.62499999996726,3,volatile_trend,0.3119718309859154,46.08027802339081,38.67141815366266,13.0,9.650000000001455,18.849999999998545
ce_81,ce,2025-08-22 09:50:00,-117.7499999999618,3,volatile_trend,0.3119718309859154,45.10948889175643,36.68795712592658,13.0,13.100000000002185,20.299999999999272
ce_82,ce,2025-08-22 09:51:00,-34.500000000027285,4,volatile_trend,0.3313432835820896,44.75707299059872,34.63617692535296,2.0,16.799999999999272,16.600000000002183
pe_82,pe,2025-08-22 09:51:00,-38.9999999999618,3,volatile_trend,0.4310823311748381,44.75707299059872,34.63617692535296,11.0,16.600000000002183,16.799999999999272
ce_83,ce,2025-08-22 09:52:00,-285.3749999999782,3,volatile_trend,0.2782540919719406,43.17212198849846,44.67703012286927,13.0,5.650000000001455,27.75
ce_84,ce,2025-08-22 09:53:00,-412.5000000000109,3,volatile_trend,0.3119718309859154,40.81851629823063,48.95597187691361,13.0,0.0,33.400000000001455
ce_85,ce,2025-08-22 09:54:00,-351.74999999999454,3,volatile_trend,0.3119718309859154,38.95330450516958,43.73360453761569,13.0,0.0,25.299999999999272
ce_86,ce,2025-08-22 09:55:00,-139.87499999996726,3,volatile_trend,0.3195706028075969,38.36605539759996,36.68382803808496,13.0,7.350000000002183,11.75
pe_86,pe,2025-08-22 09:55:00,-40.87500000001637,3,volatile_trend,0.481198410272088,38.36605539759996,36.68382803808496,13.0,11.75,7.350000000002183
ce_87,ce,2025-08-22 09:56:00,-167.2499999999509,3,volatile_trend,0.3195706028075969,37.94676032175671,38.30420074397973,13.0,6.55000000000291,13.799999999999272
pe_87,pe,2025-08-22 09:56:00,-4.125000000032742,3,volatile_trend,0.4518558364712211,37.94676032175671,38.30420074397973,13.0,13.799999999999272,6.55000000000291
ce_88,ce,2025-08-22 09:57:00,-23.25,3,volatile_trend,0.3195706028075969,37.84853826410404,35.26953540433489,13.0,12.950000000000728,7.400000000001455
pe_88,pe,2025-08-22 09:57:00,-148.12499999998363,3,volatile_trend,0.4518558364712211,37.84853826410404,35.26953540433489,13.0,7.400000000001455,12.950000000000728
ce_89,ce,2025-08-22 09:58:00,-239.2499999999673,3,volatile_trend,0.3119718309859154,37.0873541099985,42.61379242320699,13.0,3.350000000002183,17.0
ce_90,ce,2025-08-22 09:59:00,-164.99999999998363,3,volatile_trend,0.3119718309859154,36.05990238827715,40.89608850959773,13.0,6.650000000001455,13.700000000000728
pe_90,pe,2025-08-22 09:59:00,-6.375,3,volatile_trend,0.481198410272088,36.05990238827715,40.89608850959773,13.0,13.700000000000728,6.650000000001455
ce_91,ce,2025-08-22 10:00:00,-123.37500000001636,3,volatile_trend,0.3119718309859154,35.45217411411376,39.92450500818459,13.0,8.5,11.850000000002185
pe_91,pe,2025-08-22 10:00:00,-47.99999999996726,3,volatile_trend,0.4518558364712211,35.45217411411376,39.92450500818459,13.0,11.850000000002185,8.5
pe_92,pe,2025-08-22 10:01:00,-220.4999999999673,3,volatile_trend,0.4518558364712211,35.452992622948315,36.4236098560613,13.0,4.900000000001455,17.599999999998545
pe_93,pe,2025-08-22 10:02:00,-330.75,3,volatile_trend,0.481198410272088,35.61738142944139,34.14994950420835,13.0,0.0,22.5
pe_94,pe,2025-08-22 10:03:00,-302.25000000000546,3,volatile_trend,0.4518558364712211,35.90960166749134,37.412822500300514,13.0,0.0,18.700000000000728
ce_95,ce,2025-08-22 10:04:00,-68.62499999996726,1,trend,0.2782540919719406,34.96546383852104,43.91080181226132,13.0,10.450000000000728,8.44999999999709
pe_95,pe,2025-08-22 10:04:00,-113.62500000004913,1,trend,0.481198410272088,34.96546383852104,43.91080181226132,13.0,8.44999999999709,10.450000000000728
ce_96,ce,2025-08-22 10:05:00,-270.7500000000273,2,mixed,0.2782540919719406,33.49281209614977,47.20232074577277,13.0,5.849999999998545,26.200000000000728
ce_97,ce,2025-08-22 10:06:00,-285.7500000000273,2,mixed,0.2782540919719406,31.64463134896022,46.5626134179059,13.0,6.849999999998545,30.200000000000728
ce_98,ce,2025-08-22 10:07:00,-369.7500000000328,2,mixed,0.2782540919719406,29.877516340629093,49.12433457409029,13.0,3.399999999997817,34.5
ce_99,ce,2025-08-22 10:08:00,-397.8750000000328,2,mixed,0.2782540919719406,28.216239935908668,50.05850008131703,13.0,2.149999999997817,35.75
ce_100,ce,2025-08-22 10:09:00,-394.5,2,mixed,0.2782540919719406,26.488496708555324,49.9399974019086,13.0,2.2999999999992724,35.599999999998545
ce_101,ce,2025-08-22 10:10:00,-290.2499999999891,2,mixed,0.2782540919719406,25.693755283263865,45.52927845772854,13.0,8.0,33.099999999998545
ce_102,ce,2025-08-22 10:11:00,-299.2500000000491,2,mixed,0.2782540919719406,24.95578110263594,45.84555924905831,13.0,7.649999999997817,33.60000000000218
ce_103,ce,2025-08-22 10:12:00,-460.87500000004366,2,mixed,0.2782540919719406,24.16993076431589,49.87541612169477,13.0,3.149999999997817,46.150000000001455
ce_104,ce,2025-08-22 10:13:00,-595.4999999999945,2,mixed,0.2782540919719406,23.01751670773772,52.537889743173984,13.0,0.0,57.79999999999927
ce_105,ce,2025-08-22 10:14:00,-532.5000000000109,2,mixed,0.2782540919719406,22.724763449104817,45.584380918787616,13.0,0.0,49.400000000001455
ce_106,ce,2025-08-22 10:15:00,-483.7500000000109,2,mixed,0.3119718309859154,23.30306044771276,41.05615192531496,13.0,0.0,42.900000000001455
ce_107,ce,2025-08-22 10:16:00,-453.7500000000109,0,mixed,0.3195706028075969,24.34639891909765,38.52024845625451,13.0,0.0,38.900000000001455
ce_108,ce,2025-08-22 10:17:00,-355.125,1,trend,0.3376327769347496,26.12827147308872,31.608227275183367,13.0,0.0,25.75
ce_109,ce,2025-08-22 10:18:00,-273.3749999999891,1,trend,0.3313432835820896,28.03708964321661,29.444747916177207,13.0,2.950000000000728,20.75
ce_110,ce,2025-08-22 10:19:00,-254.25000000002183,1,trend,0.3195706028075969,29.89410548149024,29.08034174142369,13.0,3.799999999999272,19.90000000000145
ce_111,ce,2025-08-22 10:20:00,-289.12500000000546,1,trend,0.3119718309859154,31.0454683559256,30.76306681238107,13.0,2.25,21.450000000000728
ce_112,ce,2025-08-22 10:21:00,-256.4999999999891,1,trend,0.3119718309859154,32.27892572450643,30.044879085523405,13.0,3.700000000000728,20.0
